Subj,CC,trial,Q,F,P,Pword,Item,rt,Score
S19,cc3,388,deg,LF,unr,stale,OYSTER,785,C
S19,cc3,389,clr,HF,rel,must,HAVE,609,C
S19,cc3,390,deg,HF,rel,report,TELL,694,C
S19,cc3,391,deg,NW,unr,husk,NIFTS,730,C
S19,cc3,392,clr,HF,rel,cork,WINE,604,C
S19,cc3,393,deg,HF,rel,ideal,BEST,564,C
S19,cc3,394,deg,LF,rel,shame,GUILT,475,C
S19,cc3,395,clr,NW,unr,closet,TRANSHORD,519,C
S19,cc3,396,deg,NW,unr,worth,GIAL,514,C
S19,cc3,397,clr,LF,unr,physics,UGLY,540,C
S19,cc3,398,clr,NW,unr,lobster,WOINS,613,C
S19,cc3,399,deg,HF,rel,hose,WATER,460,C
S19,cc3,400,deg,LF,rel,fray,TEAR,520,C
S19,cc3,401,deg,NW,unr,male,GLEDER,611,C
S19,cc3,402,clr,LF,rel,stingy,CHEAP,441,C
S19,cc3,403,deg,NW,unr,algebra,GASER,678,C
S19,cc3,404,clr,LF,unr,spider,COWBOY,426,C
S19,cc3,405,deg,LF,rel,destiny,GOAL,456,C
S19,cc3,406,deg,LF,rel,famine,HUNGER,468,C
S19,cc3,407,clr,HF,unr,cigar,NIGHT,464,C
S19,cc3,408,deg,LF,unr,cobra,RULER,525,C
S19,cc3,409,deg,HF,rel,town,COUNTRY,423,C
S19,cc3,410,deg,LF,rel,quail,DUCK,453,E
S19,cc3,411,clr,NW,unr,doctor,GACKEL,649,C
S19,cc3,412,deg,NW,unr,rose,OVERJAGE,575,C
S19,cc3,413,clr,NW,unr,area,HISE,471,C
S19,cc3,414,clr,LF,rel,monk,PRIEST,498,C
S19,cc3,415,clr,HF,rel,brave,STRONG,462,C
S19,cc3,416,clr,NW,unr,college,BERE,538,C
S19,cc3,417,clr,LF,unr,warmth,SKIN,516,C
S19,cc3,418,clr,NW,unr,clove,SARTED,575,C
S19,cc3,419,clr,LF,unr,thaw,BLADE,534,C
S19,cc3,420,clr,LF,unr,rise,DUMB,561,C
S19,cc3,421,clr,NW,unr,punish,DIATOOF,505,C
S19,cc3,422,clr,HF,rel,gender,FEMALE,516,C
S19,cc3,423,deg,LF,unr,scallop,SHIRT,510,C
S19,cc3,424,deg,NW,unr,tooth,SACE,617,C
S19,cc3,425,deg,HF,rel,moment,SECOND,527,C
S19,cc3,426,deg,NW,unr,grizzly,ROOR,585,C
S19,cc3,427,deg,LF,rel,dungeon,JAIL,513,C
S19,cc3,428,clr,NW,unr,stub,SELP,619,E
S19,cc3,429,deg,NW,unr,child,REGEEP,666,C
S19,cc3,430,deg,LF,unr,stake,PURPLE,990,C
S19,cc3,431,deg,HF,rel,choice,PICK,757,C
S19,cc3,432,clr,NW,unr,fill,MEROT,678,C
S19,cc3,433,clr,LF,rel,towel,SHOWER,432,C
S19,cc3,434,deg,HF,rel,examine,STUDY,446,C
S19,cc3,435,deg,HF,unr,novel,PULL,427,C
S19,cc3,436,deg,NW,unr,boots,GAFT,569,C
S19,cc3,437,clr,HF,rel,strand,HAIR,497,C
S19,cc3,438,deg,HF,rel,side,FRONT,572,C
S19,cc3,439,deg,HF,rel,beam,LIGHT,533,C
S19,cc3,440,clr,NW,unr,corpse,GIPER,623,C
S19,cc3,441,clr,HF,rel,retain,HOLD,485,C
S19,cc3,442,deg,LF,rel,stuck,GLUE,673,C
S19,cc3,443,clr,HF,rel,society,PEOPLE,453,C
S19,cc3,444,deg,NW,unr,mammal,PARN,595,C
S19,cc3,445,deg,HF,rel,journal,WRITE,506,C
S19,cc3,446,clr,NW,unr,harsh,POSTSIRM,1012,C
S19,cc3,447,deg,HF,rel,meadow,GRASS,443,C
S19,cc3,448,clr,HF,rel,mirage,VISION,425,C
S19,cc3,449,deg,NW,unr,early,FRAGER,678,C
S19,cc3,450,clr,NW,unr,penny,FRID,666,C
S19,cc3,451,clr,NW,unr,drawing,FARPER,510,C
S19,cc3,452,clr,NW,unr,future,GLIPS,537,C
S19,cc3,453,clr,NW,unr,saber,WIET,563,C
S19,cc3,454,deg,NW,unr,solid,DIATHED,523,C
S19,cc3,455,deg,NW,unr,piece,ANTIVORM,646,C
S19,cc3,456,clr,NW,unr,gift,POAT,491,C
S19,cc3,457,deg,HF,rel,mark,SPOT,551,C
S19,cc3,458,deg,LF,rel,barrel,MONKEY,511,C
S19,cc3,459,clr,HF,unr,spirit,PLANE,442,C
S19,cc3,460,clr,LF,rel,rail,TRAIN,488,C
S19,cc3,461,clr,NW,unr,song,GORT,596,C
S19,cc3,462,deg,NW,unr,beer,TRANSVAME,1050,C
S19,cc3,463,deg,NW,unr,stove,TEAPS,672,C
S19,cc3,464,clr,NW,unr,correct,HILK,517,C
S19,cc3,465,deg,HF,unr,dock,HEAD,527,C
S19,cc3,466,deg,NW,unr,casket,WOILY,520,C
S19,cc3,467,deg,NW,unr,whiskey,SUBRUCT,579,C
S19,cc3,468,deg,HF,rel,pour,LIQUID,475,C
S19,cc3,469,deg,HF,unr,scout,LEAD,520,C
S19,cc3,470,deg,NW,unr,fear,CRIG,577,C
S19,cc3,471,clr,NW,unr,tale,TASHED,458,E
S19,cc3,472,clr,HF,unr,smash,FINGER,543,C
S19,cc3,473,deg,NW,unr,boring,DORNER,569,C
S19,cc3,474,clr,NW,unr,flask,FANTOM,577,C
S19,cc3,475,clr,NW,unr,shake,SUBVURD,538,C
S19,cc3,476,deg,HF,rel,justice,PEACE,452,C
S19,cc3,477,deg,HF,rel,mayor,CITY,481,C
S19,cc3,478,clr,LF,rel,drum,STICK,412,C
S19,cc3,479,deg,NW,unr,hoop,BRIPED,460,C
S19,cc3,480,clr,NW,unr,drink,VACER,520,C
S20,cc4,1,clr,LF,unr,bunch,JAIL,554,C
S20,cc4,2,clr,NW,unr,push,JAINS,642,C
S20,cc4,3,clr,HF,unr,pause,FINAL,600,C
S20,cc4,4,clr,HF,unr,blaze,SPOT,624,E
S20,cc4,5,clr,NW,unr,east,MUCTS,621,C
S20,cc4,6,clr,HF,unr,strand,WRITE,660,C
S20,cc4,7,deg,HF,rel,core,CENTER,666,C
S20,cc4,8,clr,NW,unr,boring,DORNER,766,C
S20,cc4,9,clr,NW,unr,algebra,GASER,702,C
S20,cc4,10,clr,LF,rel,thimble,THREAD,642,C
S20,cc4,11,deg,HF,unr,much,MEAN,743,C
S20,cc4,12,clr,LF,unr,towel,WEIRD,663,C
S20,cc4,13,deg,NW,unr,beach,SEEF,652,C
S20,cc4,14,deg,LF,unr,shame,PRIEST,722,C
S20,cc4,15,clr,HF,rel,alley,STREET,597,C
S20,cc4,16,clr,HF,rel,frost,COLD,587,C
S20,cc4,17,deg,NW,unr,place,FELD,963,C
S20,cc4,18,deg,NW,unr,stain,MUELED,828,C
S20,cc4,19,deg,HF,rel,just,RIGHT,602,C
S20,cc4,20,deg,NW,unr,launch,GLIM,912,C
S20,cc4,21,deg,HF,rel,meaning,REASON,651,C
S20,cc4,22,clr,NW,unr,stage,MIAL,865,C
S20,cc4,23,deg,NW,unr,game,FLIMER,701,C
S20,cc4,24,clr,NW,unr,proper,PROGOLLS,800,C
S20,cc4,25,deg,HF,unr,granite,FACE,559,C
S20,cc4,26,clr,HF,unr,domain,COUNTRY,616,C
S20,cc4,27,clr,NW,unr,sail,FOOMS,590,C
S20,cc4,28,clr,LF,unr,toaster,SAND,678,C
S20,cc4,29,clr,NW,unr,bourbon,UNKOOM,746,C
S20,cc4,30,clr,NW,unr,boots,GAFT,587,C
S20,cc4,31,deg,LF,unr,dump,MAIL,674,C
S20,cc4,32,deg,NW,unr,alike,KOOPER,663,C
S20,cc4,33,deg,LF,rel,missile,ROCKET,908,C
S20,cc4,34,deg,NW,unr,middle,FASHIN,806,C
S20,cc4,35,deg,HF,unr,ideal,BLACK,580,C
S20,cc4,36,clr,NW,unr,tire,VIND,700,C
S20,cc4,37,clr,NW,unr,lonely,NEEK,720,C
S20,cc4,38,clr,HF,rel,problem,ANSWER,563,C
S20,cc4,39,clr,NW,unr,wasted,VABY,634,C
S20,cc4,40,clr,NW,unr,alcohol,ROFT,640,C
S20,cc4,41,clr,LF,unr,yarn,WASH,678,C
S20,cc4,42,deg,NW,unr,throat,PREPERN,697,C
S20,cc4,43,deg,NW,unr,ease,UNGURB,956,C
S20,cc4,44,deg,HF,unr,choice,SPACE,709,C
S20,cc4,45,clr,NW,unr,stud,DIAKOME,616,C
S20,cc4,46,clr,NW,unr,male,GLEDER,750,C
S20,cc4,47,clr,LF,rel,pear,FRUIT,623,C
S20,cc4,48,clr,LF,unr,trench,MOUSE,614,C
S20,cc4,49,deg,LF,rel,grove,ORANGE,695,C
S20,cc4,50,clr,NW,unr,funny,TELD,649,C
S20,cc4,51,deg,HF,unr,justice,HARD,574,C
S20,cc4,52,clr,HF,unr,bench,GRASS,615,C
S20,cc4,53,deg,NW,unr,tale,TASHED,957,C
S20,cc4,54,clr,LF,rel,stake,VAMPIRE,709,C
S20,cc4,55,deg,NW,unr,human,PLOGED,792,C
S20,cc4,56,deg,NW,unr,choose,UNSOADER,920,C
S20,cc4,57,clr,LF,unr,mule,GOAL,610,C
S20,cc4,58,deg,NW,unr,worst,SAMP,632,C
S20,cc4,59,deg,HF,unr,fair,POLICE,574,C
S20,cc4,60,deg,NW,unr,lose,LURB,598,C
S20,cc4,61,clr,LF,rel,robbery,THIEF,670,C
S20,cc4,62,deg,LF,unr,famine,EAGLE,625,C
S20,cc4,63,clr,NW,unr,dull,REET,632,C
S20,cc4,64,deg,NW,unr,alive,GOIL,766,C
S20,cc4,65,deg,NW,unr,garlic,DURFER,638,C
S20,cc4,66,deg,NW,unr,shiver,DEAT,627,C
S20,cc4,67,clr,NW,unr,sweet,CONTRANAIM,649,C
S20,cc4,68,deg,NW,unr,golf,NOOPS,607,C
S20,cc4,69,deg,HF,rel,steam,ENGINE,645,C
S20,cc4,70,clr,NW,unr,stove,TEAPS,779,C
S20,cc4,71,deg,LF,unr,pardon,SMART,603,C
S20,cc4,72,clr,HF,unr,serial,COST,610,C
S20,cc4,73,clr,NW,unr,cash,HITY,616,C
S20,cc4,74,clr,NW,unr,whip,NERM,879,C
S20,cc4,75,clr,LF,rel,prime,RIBS,715,C
S20,cc4,76,clr,NW,unr,sheep,PAFTER,606,C
S20,cc4,77,deg,NW,unr,harsh,POSTSIRM,900,C
S20,cc4,78,clr,NW,unr,exam,JAMPER,768,C
S20,cc4,79,deg,NW,unr,penny,FRID,721,C
S20,cc4,80,deg,NW,unr,shelter,PROWAMP,1010,C
S20,cc4,81,deg,NW,unr,stream,STAPEL,1129,C
S20,cc4,82,clr,NW,unr,racket,DEST,779,C
S20,cc4,83,clr,HF,rel,brief,SHORT,684,C
S20,cc4,84,deg,NW,unr,fangs,PRALE,735,C
S20,cc4,85,deg,NW,unr,step,PURD,689,C
S20,cc4,86,clr,NW,unr,neat,TOOMS,725,C
S20,cc4,87,clr,HF,rel,late,NIGHT,648,C
S20,cc4,88,deg,HF,rel,vanish,GONE,684,C
S20,cc4,89,clr,HF,rel,hike,WALK,928,C
S20,cc4,90,clr,LF,rel,captive,HOSTAGE,715,C
S20,cc4,91,clr,LF,rel,scallop,SEAFOOD,797,C
S20,cc4,92,deg,NW,unr,kill,OVERTAGE,812,C
S20,cc4,93,clr,NW,unr,finish,PROLEEL,892,C
S20,cc4,94,deg,NW,unr,song,GORT,744,C
S20,cc4,95,clr,LF,rel,sword,BLADE,713,C
S20,cc4,96,clr,LF,rel,scar,UGLY,604,C
S20,cc4,97,clr,LF,rel,panther,TIGER,789,C
S20,cc4,98,deg,NW,unr,shake,SUBVURD,549,C
S20,cc4,99,clr,HF,rel,prove,SHOW,573,C
S20,cc4,100,clr,NW,unr,horror,BUCT,646,C
S20,cc4,101,clr,NW,unr,munch,PROMELP,604,C
S20,cc4,102,deg,LF,rel,spade,CARDS,643,C
S20,cc4,103,deg,HF,rel,stair,CASE,567,C
S20,cc4,104,clr,NW,unr,cough,VIRED,560,C
S20,cc4,105,clr,NW,unr,jacket,DANDEL,536,C
S20,cc4,106,deg,NW,unr,knob,ENSUCT,675,C
S20,cc4,107,deg,NW,unr,ghost,RERN,822,C
S20,cc4,108,deg,LF,unr,rinse,WOOL,725,C
S20,cc4,109,clr,NW,unr,excuse,PIMEL,727,C
S20,cc4,110,clr,LF,rel,referee,SOCCER,504,C
S20,cc4,111,clr,HF,rel,gloves,HANDS,547,C
S20,cc4,112,clr,NW,unr,span,LIPER,1004,C
S20,cc4,113,deg,NW,unr,fill,MEROT,676,C
S20,cc4,114,deg,LF,rel,monarch,RULER,631,C
S20,cc4,115,clr,HF,rel,guest,FRIEND,685,C
S20,cc4,116,deg,NW,unr,liberty,REMOLKS,705,C
S20,cc4,117,clr,HF,rel,scout,GIRL,533,C
S20,cc4,118,deg,NW,unr,corpse,GIPER,638,C
S20,cc4,119,deg,LF,unr,grain,OVEN,644,C
S20,cc4,120,clr,HF,rel,simple,MIND,585,C
S20,cc4,121,deg,NW,unr,trash,NAMPED,657,E
S20,cc4,122,clr,LF,unr,omelet,GLORY,701,C
S20,cc4,123,deg,HF,rel,since,WHEN,640,C
S20,cc4,124,clr,NW,unr,violet,GOUPER,599,C
S20,cc4,125,deg,NW,unr,inhale,DISBAMP,765,C
S20,cc4,126,deg,LF,unr,squeak,COAT,894,C
S20,cc4,127,clr,NW,unr,hoop,BRIPED,1145,C
S20,cc4,128,deg,HF,unr,mark,FIRE,602,C
S20,cc4,129,clr,LF,rel,tuna,FISH,657,C
S20,cc4,130,clr,NW,unr,liver,BOULER,566,C
S20,cc4,131,clr,HF,rel,broken,HEART,575,C
S20,cc4,132,deg,LF,rel,anxiety,NERVOUS,598,C
S20,cc4,133,deg,NW,unr,drawing,FARPER,621,C
S20,cc4,134,deg,HF,rel,routine,SAME,1092,C
S20,cc4,135,deg,NW,unr,stub,SELP,648,C
S20,cc4,136,clr,HF,unr,complex,PEACE,700,C
S20,cc4,137,deg,HF,rel,compass,POINT,623,C
S20,cc4,138,deg,NW,unr,lump,REJONG,742,C
S20,cc4,139,clr,LF,unr,snorkel,TEAR,839,C
S20,cc4,140,deg,LF,unr,pickle,STORM,661,C
S20,cc4,141,clr,NW,unr,bitter,INTHID,745,C
S20,cc4,142,clr,HF,unr,slap,STONE,683,C
S20,cc4,143,clr,NW,unr,child,REGEEP,591,C
S20,cc4,144,deg,LF,rel,flannel,SHIRT,582,C
S20,cc4,145,deg,NW,unr,giggle,BIAL,780,C
S20,cc4,146,clr,NW,unr,strange,RAIM,1067,C
S20,cc4,147,deg,NW,unr,blouse,BAVE,864,C
S20,cc4,148,deg,LF,rel,fragile,BREAK,574,C
S20,cc4,149,deg,HF,unr,hose,HOLD,646,C
S20,cc4,150,deg,LF,unr,mints,BATH,571,C
S20,cc4,151,deg,LF,rel,prank,JOKE,643,C
S20,cc4,152,deg,NW,unr,correct,HILK,681,C
S20,cc4,153,clr,LF,unr,carrots,JACKET,636,C
S20,cc4,154,deg,LF,unr,snail,BIRD,674,C
S20,cc4,155,clr,NW,unr,receive,FOKEL,903,C
S20,cc4,156,clr,LF,unr,pigeon,SLIMY,866,C
S20,cc4,157,deg,NW,unr,desire,SOOFS,622,C
S20,cc4,158,deg,NW,unr,protect,DOAF,645,C
S20,cc4,159,deg,NW,unr,prison,UNBERM,1002,C
S20,cc4,160,deg,NW,unr,time,BIETER,882,C
S20,cc4,161,clr,NW,unr,sleep,AJURD,573,C
S20,cc4,162,clr,NW,unr,baby,DIPER,950,C
S20,cc4,163,clr,NW,unr,dark,NOAL,1023,C
S20,cc4,164,deg,NW,unr,movie,DISWOUL,869,C
S20,cc4,165,clr,NW,unr,spank,GOORCH,850,C
S20,cc4,166,clr,NW,unr,clam,HORME,687,C
S20,cc4,167,deg,LF,unr,team,FROG,756,C
S20,cc4,168,clr,NW,unr,weak,VIRD,740,C
S20,cc4,169,clr,NW,unr,singer,CATHE,646,C
S20,cc4,170,deg,LF,unr,plead,SILVER,732,C
S20,cc4,171,deg,NW,unr,live,DOLFIN,845,C
S20,cc4,172,clr,NW,unr,abuse,PIDER,1067,C
S20,cc4,173,deg,NW,unr,plain,GROPEL,800,C
S20,cc4,174,clr,HF,unr,storage,PICK,672,C
S20,cc4,175,clr,HF,rel,lips,MOUTH,675,C
S20,cc4,176,deg,NW,unr,danger,HOAFER,599,C
S20,cc4,177,clr,NW,unr,whiskey,SUBRUCT,815,C
S20,cc4,178,clr,NW,unr,coral,DISMONG,574,C
S20,cc4,179,clr,NW,unr,village,NAKE,789,C
S20,cc4,180,clr,NW,unr,brandy,LOMED,501,C
S20,cc4,181,clr,LF,rel,stale,BREAD,624,C
S20,cc4,182,deg,NW,unr,gentle,GLIDEL,565,C
S20,cc4,183,clr,HF,unr,squad,RIDE,670,C
S20,cc4,184,deg,HF,unr,journal,HAIR,563,C
S20,cc4,185,deg,NW,unr,saber,WIET,683,C
S20,cc4,186,deg,NW,unr,shape,JOAD,702,C
S20,cc4,187,deg,LF,rel,melody,TUNE,722,C
S20,cc4,188,deg,NW,unr,kind,BOAFE,565,C
S20,cc4,189,deg,NW,unr,aunt,FLEEPED,637,C
S20,cc4,190,deg,NW,unr,punish,DIATOOF,611,C
S20,cc4,191,clr,LF,unr,crops,SHOE,537,C
S20,cc4,192,clr,LF,rel,gain,WEIGHT,563,C
S20,cc4,193,clr,LF,rel,reel,POLE,531,E
S20,cc4,194,deg,NW,unr,rhythm,MAND,1268,C
S20,cc4,195,deg,LF,unr,quail,FRIGHT,801,C
S20,cc4,196,clr,NW,unr,worth,GIAL,592,C
S20,cc4,197,clr,NW,unr,cape,VIRMER,583,C
S20,cc4,198,deg,HF,rel,smash,DESTROY,767,C
S20,cc4,199,deg,LF,rel,impact,CRASH,528,C
S20,cc4,200,deg,NW,unr,value,UNFERO,586,C
S20,cc4,201,clr,NW,unr,hate,POAL,849,C
S20,cc4,202,clr,HF,rel,pilot,PLANE,622,C
S20,cc4,203,deg,LF,rel,plum,PURPLE,692,C
S20,cc4,204,deg,NW,unr,doctor,GACKEL,568,C
S20,cc4,205,deg,NW,unr,person,RESATH,657,C
S20,cc4,206,deg,LF,rel,curse,WITCH,676,C
S20,cc4,207,deg,LF,unr,awkward,SHOWER,649,C
S20,cc4,208,clr,LF,rel,seal,STAMP,974,C
S20,cc4,209,deg,HF,unr,gate,PEOPLE,565,C
S20,cc4,210,clr,NW,unr,chalk,DEFITY,654,C
S20,cc4,211,deg,HF,unr,meadow,SEAT,548,C
S20,cc4,212,deg,NW,unr,lobster,WOINS,637,C
S20,cc4,213,deg,NW,unr,past,UNCHIM,610,C
S20,cc4,214,deg,LF,unr,skip,STICK,681,C
S20,cc4,215,clr,NW,unr,green,ROLK,1005,C
S20,cc4,216,clr,LF,rel,attack,DEFEND,644,C
S20,cc4,217,clr,LF,unr,scary,DUCK,585,C
S20,cc4,218,clr,NW,unr,sugar,FAFT,721,C
S20,cc4,219,deg,LF,unr,noisy,ANGER,579,C
S20,cc4,220,deg,LF,rel,force,PUSH,619,C
S20,cc4,221,clr,HF,unr,stem,FIELD,609,C
S20,cc4,222,clr,HF,rel,dock,BOAT,536,C
S20,cc4,223,deg,NW,unr,apology,DOMP,594,C
S20,cc4,224,deg,LF,unr,stuck,REEF,745,C
S20,cc4,225,deg,HF,unr,report,SOUND,586,C
S20,cc4,226,deg,NW,unr,fishing,HIFT,642,C
S20,cc4,227,clr,NW,unr,chance,KENTED,488,C
S20,cc4,228,deg,LF,unr,destiny,DONKEY,740,C
S20,cc4,229,clr,LF,rel,latch,LOCK,613,C
S20,cc4,230,clr,HF,unr,gray,BEST,507,C
S20,cc4,231,clr,HF,unr,cork,CARE,646,C
S20,cc4,232,clr,HF,unr,lodge,LIGHT,635,C
S20,cc4,233,deg,NW,unr,saltine,DEBIRT,593,C
S20,cc4,234,deg,HF,unr,side,DOOR,984,C
S20,cc4,235,deg,NW,unr,sharp,WEERD,896,C
S20,cc4,236,deg,LF,rel,mussel,OYSTER,827,C
S20,cc4,237,deg,NW,unr,clove,SARTED,873,C
S20,cc4,238,clr,NW,unr,artery,DEHIET,822,C
S20,cc4,239,clr,NW,unr,razor,NENTS,677,C
S20,cc4,240,clr,LF,rel,sailor,NAVY,616,C
S20,cc4,241,clr,HF,unr,must,FATHER,928,C
S20,cc4,242,clr,LF,unr,oval,NICE,587,C
S20,cc4,243,deg,HF,unr,moment,THINK,499,C
S20,cc4,244,deg,NW,unr,closet,TRANSHORD,574,C
S20,cc4,245,clr,NW,unr,crowd,JASHES,629,C
S20,cc4,246,deg,HF,rel,cigar,SMOKE,571,C
S20,cc4,247,clr,NW,unr,ceiling,FODE,756,C
S20,cc4,248,clr,LF,rel,cobra,SNAKE,550,C
S20,cc4,249,clr,LF,unr,uniform,SODA,814,C
S20,cc4,250,deg,LF,unr,fray,SWIM,557,C
S20,cc4,251,deg,HF,rel,guide,LEAD,695,C
S20,cc4,252,clr,NW,unr,lion,TRANSVEEM,523,C
S20,cc4,253,deg,NW,unr,learn,SORN,708,C
S20,cc4,254,deg,LF,rel,liar,CHEAT,488,C
S20,cc4,255,deg,NW,unr,clue,WINT,676,C
S20,cc4,256,deg,HF,unr,parent,HAVE,584,C
S20,cc4,257,clr,NW,unr,drunk,BIST,495,C
S20,cc4,258,deg,HF,rel,mare,HORSE,619,C
S20,cc4,259,deg,NW,unr,magic,SARPS,658,C
S20,cc4,260,deg,NW,unr,worn,TODELL,567,C
S20,cc4,261,clr,LF,unr,rail,SIGN,608,C
S20,cc4,262,deg,HF,unr,examine,SORRY,646,C
S20,cc4,263,deg,LF,rel,physics,MATH,524,C
S20,cc4,264,deg,LF,rel,mask,HIDE,550,C
S20,cc4,265,deg,HF,rel,spirit,SCHOOL,590,C
S20,cc4,266,deg,HF,unr,appeal,LONG,550,C
S20,cc4,267,deg,NW,unr,dead,MESTED,719,C
S20,cc4,268,clr,LF,rel,haunt,SCARE,658,C
S20,cc4,269,deg,LF,unr,straw,NURSE,614,C
S20,cc4,270,deg,LF,unr,daring,HURT,685,C
S20,cc4,271,clr,HF,rel,century,YEAR,721,C
S20,cc4,272,deg,HF,rel,pack,BACK,819,C
S20,cc4,273,clr,LF,unr,hail,SOUR,689,C
S20,cc4,274,clr,HF,rel,nails,FINGER,662,C
S20,cc4,275,clr,NW,unr,meeting,VARD,554,C
S20,cc4,276,clr,LF,unr,tarnish,GUILTY,659,C
S20,cc4,277,clr,NW,unr,peel,FOOR,855,C
S20,cc4,278,deg,HF,unr,outcome,STOP,789,C
S20,cc4,279,clr,LF,unr,monk,GUILT,677,C
S20,cc4,280,deg,NW,unr,find,NADER,665,C
S20,cc4,281,clr,LF,unr,robe,CANDY,797,C
S20,cc4,282,deg,LF,rel,burst,BALLOON,716,C
S20,cc4,283,deg,NW,unr,gift,POAT,607,C
S20,cc4,284,clr,NW,unr,palm,FRIMER,853,C
S20,cc4,285,deg,HF,unr,marble,GARDEN,1474,C
S20,cc4,286,deg,NW,unr,cure,WERNED,743,C
S20,cc4,287,clr,NW,unr,husk,NIFTS,1127,C
S20,cc4,288,clr,NW,unr,muffin,PAIME,746,C
S20,cc4,289,deg,NW,unr,risk,GIREN,599,C
S20,cc4,290,deg,HF,rel,vary,CHANGE,590,C
S20,cc4,291,clr,NW,unr,helium,GINED,1029,C
S20,cc4,292,clr,LF,unr,wisdom,FORGIVE,731,C
S20,cc4,293,clr,LF,rel,waves,OCEAN,845,C
S20,cc4,294,deg,NW,unr,part,JACE,1034,C
S20,cc4,295,clr,LF,unr,hawk,HUNGER,576,C
S20,cc4,296,deg,NW,unr,future,GLIPS,632,C
S20,cc4,297,clr,LF,unr,stingy,VEIN,542,E
S20,cc4,298,deg,NW,unr,moon,DERON,750,C
S20,cc4,299,clr,LF,unr,barrier,GLUE,528,C
S20,cc4,300,deg,NW,unr,drink,VACER,586,C
S20,cc4,301,deg,LF,rel,warmth,HEAT,482,C
S20,cc4,302,deg,NW,unr,soar,VAKER,541,C
S20,cc4,303,clr,NW,unr,virtue,HICE,534,C
S20,cc4,304,deg,LF,rel,pound,PUPPY,592,C
S20,cc4,305,deg,HF,rel,reality,LIFE,551,C
S20,cc4,306,deg,HF,rel,costume,PARTY,624,C
S20,cc4,307,deg,LF,unr,symbol,TRAIN,534,C
S20,cc4,308,deg,NW,unr,boat,EXMIRD,624,C
S20,cc4,309,deg,LF,unr,dungeon,BANANA,774,C
S20,cc4,310,deg,HF,unr,nephew,VISION,917,C
S20,cc4,311,clr,HF,rel,stiff,BOARD,672,C
S20,cc4,312,deg,HF,rel,jeans,BLUE,629,C
S20,cc4,313,deg,NW,unr,cement,HISHES,650,C
S20,cc4,314,clr,NW,unr,solid,DIATHED,607,C
S20,cc4,315,deg,NW,unr,sight,DERD,742,C
S20,cc4,316,deg,NW,unr,thirst,TORM,744,C
S20,cc4,317,clr,HF,unr,some,FIGURE,552,C
S20,cc4,318,clr,LF,rel,outlaw,COWBOY,610,C
S20,cc4,319,clr,NW,unr,poise,EXVAIM,569,C
S20,cc4,320,deg,NW,unr,area,HISE,657,C
S20,cc4,321,deg,LF,rel,wedding,BELL,677,C
S20,cc4,322,deg,NW,unr,pool,HADER,1145,E
S20,cc4,323,deg,NW,unr,plate,DORTER,675,C
S20,cc4,324,deg,LF,rel,foam,RUBBER,1015,C
S20,cc4,325,clr,HF,unr,theory,CITY,670,C
S20,cc4,326,clr,LF,rel,foolish,DUMB,642,C
S20,cc4,327,deg,NW,unr,ivory,CAID,569,C
S20,cc4,328,clr,HF,rel,novel,READ,544,C
S20,cc4,329,clr,HF,rel,counsel,HELP,585,C
S20,cc4,330,clr,NW,unr,brain,VEATH,818,C
S20,cc4,331,deg,HF,unr,plow,PLANT,593,C
S20,cc4,332,deg,LF,rel,spider,INSECT,680,C
S20,cc4,333,deg,HF,rel,bring,TAKE,620,C
S20,cc4,334,deg,NW,unr,seek,ENJOLK,579,C
S20,cc4,335,clr,NW,unr,ball,VACK,681,C
S20,cc4,336,deg,NW,unr,tall,NAFTS,573,C
S20,cc4,337,clr,HF,unr,pity,STUDY,659,C
S20,cc4,338,clr,NW,unr,star,HEAN,712,C
S20,cc4,339,clr,NW,unr,price,MEERS,587,C
S20,cc4,340,clr,NW,unr,quiet,FARDED,691,C
S20,cc4,341,deg,LF,unr,subtle,STICKY,535,C
S20,cc4,342,deg,LF,unr,polite,ROUND,576,C
S20,cc4,343,clr,NW,unr,calm,GRUMS,681,C
S20,cc4,344,clr,NW,unr,sparrow,WELME,909,C
S20,cc4,345,deg,LF,unr,hope,EGGS,599,C
S20,cc4,346,clr,NW,unr,mammal,PARN,575,C
S20,cc4,347,clr,LF,unr,drum,JUMP,566,C
S20,cc4,348,clr,NW,unr,trace,NAIN,544,C
S20,cc4,349,deg,LF,rel,ritual,HABIT,616,C
S20,cc4,350,deg,NW,unr,frame,TERE,559,C
S20,cc4,351,deg,NW,unr,heel,VEEP,663,C
S20,cc4,352,clr,NW,unr,measure,HOLKS,524,C
S20,cc4,353,clr,NW,unr,fear,CRIG,486,C
S20,cc4,354,deg,HF,rel,tractor,PULL,689,C
S20,cc4,355,clr,HF,rel,shadow,DARK,661,C
S20,cc4,356,clr,NW,unr,beer,TRANSVAME,570,C
S20,cc4,357,clr,HF,rel,tank,ARMY,530,C
S20,cc4,358,deg,LF,unr,buckle,CORN,539,C
S20,cc4,359,clr,HF,unr,retain,WATER,549,C
S20,cc4,360,clr,HF,unr,rude,MORE,735,C
S20,cc4,361,deg,LF,rel,prune,JUICE,816,C
S20,cc4,362,clr,NW,unr,slither,KOOF,542,C
S20,cc4,363,deg,NW,unr,wallet,UNJEED,616,C
S20,cc4,364,deg,NW,unr,write,INTERVESS,1086,C
S20,cc4,365,clr,HF,rel,donor,GIVE,546,C
